code,name,category,properties,day_price
LIEF0075,"Martin - VDO Atomic Dot WRM IP65 LED, WW 6-12",LIGHT,,10.00
LIEF0866,"Martin - VDO Atomic Dot CLD IP65 LED, CW 12",LIGHT,,10.00
LIEF0862,"Martin - VDO Atomic Bold IP65 LED, RGBW 4",LIGHT,,32.50
LIEF0070,"Clay Paky - Stormy CC LED strobe LED, RGBW 2-4",LIGHT,,50.00
LIEF0942,"Chauvet - Color STRIKE M, IP65 LED Strobe/Wash LED, RGB-CW 2-4",LIGHT,,85.00
LIEF0060,"GLP - JDC1 LED strobe 188° Tilt LED, RGB-CREE XP L 2-4",LIGHT,,87.50
LIEF0058,"GLP - JDC2 IP LED strobe 184° Tilt IP65 LED, WSL-RGB 1-3",LIGHT,,105.00
LILE0333,"Showtec - Octostrip MKII 100 cm black LED, RGB 16",LIGHT,,5.00
LILE0337,Showtec - Controller for Octostrip MKII (XLR3) 2,LIGHT,,10.00
LIEF0921,"Chauvet - Epix Strip 500mm IP65 (XLR4) LED, RGB 8-12-36",LIGHT,,5.00
LIEF0920,"Chauvet - Epix Strip 1000mm IP65 (XLR4) LED, RGB 12-36",LIGHT,,10.00
LIEF0922,Chauvet - Epix Drive 2000 IP65 True1 [max. 20 strips] 1-2,LIGHT,,30.00
LILE0546,"CLF - Juno AkkuLED, IP65 LED, RGBW 6",LIGHT,,20.00
LIEF0228,"Astera - NYX Wireless Bulb RGBA-M, E27, IP20 LED, RGBA-M, 10W 8",LIGHT,,12.50
LIEF0882,"Astera - LunaBulb RGBA-M, E27, IP44 LED, RGBA-M, 3.3W 8",LIGHT,,13.75
LIEF0946,"Astera - AX2-100 Pixelbar 21° RGBMA, IP65 LED, RGB-Mint-Amber 4-6",LIGHT,,46.25
LIEF0186,"Astera - AX 3 Wireless Akku Lightdrop LED, RGBW, 15W 8",LIGHT,,20.00
LIEF0193,"Astera - AX 5 Wireless Akku TriplePar LED, RGBAW, 3 x 15W 8",LIGHT,,31.25
LIEF0216,"Astera - AX-9 Wireless Akku Powerpar LED, RGBAW, 105W 8",LIGHT,,37.50
LIEF0209,"Astera - Helios Tube Wireless Akku Pixeltube LED, RGBMA, 24W 8",LIGHT,,25.00
LIEF0200,"Astera - Titan Tube Wireless Akku Pixeltube LED, RGBMA, 48W 8",LIGHT,,31.25
LIEF0211,"Astera - Hyperion Tube Wireless Akku Pixeltube LED, RGBMA, 96W 4",LIGHT,,43.75
LIEF0994,"Astera - HydraPanel FP6 40° - 100°, 17w, IP65 LED, RGBMA, 17W 1-4",LIGHT,,50.00
LIEF0971,"Astera - PB15 Pixelbrick 13°, IP65 LED, RGBMA, 15W 8",LIGHT,,25.00
COET0621,Astera - ART7 Wireless DMX Transmitter,LIGHT,,25.00
LIEF0120,"Chauvet - Strike One IP65 LED, WW 2-4",LIGHT,,27.50
